country,numberPlayers,totalOverall
United States,16870.0,143408453.47
China,4429.0,109679909.88
"Korea, Republic of",3899.0,90864833.36
Sweden,2481.0,37900375.8
Denmark,1499.0,35942747.01
France,3613.0,28637145.24
Canada,2730.0,27741952.91
Russian Federation,3463.0,26204215.18
Germany,4112.0,25898522.98
Finland,1484.0,24991580.5
United Kingdom,3090.0,19504071.42
Brazil,2518.0,19366623.91
Australia,2196.0,16742272.93
Ukraine,896.0,15317367.74
Poland,1732.0,13456376.63
"Taiwan, Republic of China",845.0,10386329.53
Malaysia,621.0,9802809.7
Netherlands,1217.0,8940244.67
Japan,1359.0,8527998.02
Philippines,554.0,8292183.53
Bulgaria,328.0,7534350.52
Norway,856.0,7472882.41
Jordan,54.0,6431733.93
Thailand,908.0,5927490.09
Spain,1491.0,5506614.13
Lebanon,57.0,4253532.73
Pakistan,151.0,4235827.74
Estonia,195.0,3952063.0
Austria,508.0,3742426.1
Singapore,597.0,3733988.9
Viet Nam,889.0,3630667.24
Romania,359.0,3534765.86
Turkey,621.0,3310977.52
Israel,182.0,3239618.33
Argentina,574.0,3192994.33
Italy,726.0,2979487.1
Belgium,500.0,2971805.3
Hong Kong,319.0,2971176.3
Mexico,406.0,2403178.04
Kazakhstan,544.0,2165540.82
Czech Republic,581.0,2132854.77
Belarus,274.0,2102802.42
Indonesia,631.0,2009092.56
Slovakia,210.0,1974156.96
Peru,273.0,1964517.84
New Zealand,242.0,1829166.25
Saudi Arabia,151.0,1658681.66
Greece,358.0,1617765.41
Switzerland,351.0,1605913.54
Portugal,668.0,1535070.15
Macao,28.0,1519073.84
"Macedonia, The Former Yugoslav Republic of",41.0,1037455.01
Bosnia and Herzegovina,37.0,1025099.94
Lithuania,250.0,938850.9
Hungary,401.0,931889.48
Croatia,165.0,914536.05
Serbia,224.0,874763.06
Chile,376.0,871614.45
South Africa,447.0,861143.34
Slovenia,90.0,816771.73
Ireland,164.0,736568.93
India,550.0,722467.06
Latvia,213.0,676653.67
Uzbekistan,38.0,466582.99
Kyrgyzstan,45.0,454578.38
Dominican Republic,51.0,394226.53
United Arab Emirates,126.0,299693.39
Mongolia,85.0,293534.59
Colombia,130.0,263873.16
Puerto Rico,35.0,259328.9
Bolivia,12.0,236221.64
Armenia,26.0,222806.28
"Moldova, Republic of",27.0,201380.46
"Iran, Islamic Republic of",102.0,166693.83
Uruguay,47.0,163599.77
Iceland,103.0,160137.37
Venezuela,100.0,139973.76
Malta,252.0,137970.39
Gibraltar,1.0,126204.51
Montenegro,10.0,114688.62
Morocco,48.0,107437.66
Iraq,47.0,104186.97
Egypt,61.0,86626.6
Azerbaijan,89.0,75979.06
Tunisia,34.0,75393.31
Bahrain,8.0,71557.6
Kuwait,64.0,66588.46
Cuba,9.0,65648.55
Algeria,33.0,65590.04
Georgia,67.0,55831.0
Cambodia,66.0,43146.26
Panama,31.0,41218.88
Costa Rica,39.0,39393.14
Albania,22.0,37879.46
Nicaragua,4.0,28813.51
Ethiopia,1.0,23669.95
Ecuador,28.0,22904.01
Qatar,9.0,21317.54
"Kosovo, Republic of",9.0,20446.58
Oman,3.0,18250.0
Guatemala,14.0,17571.79
"Palestinian Territory, Occupied",7.0,17336.45
Myanmar,54.0,17323.97
Sri Lanka,19.0,15169.51
Lao People's Democratic Republic,52.0,14017.27
Luxembourg,21.0,12701.89
Syrian Arab Republic,10.0,11489.09
Nepal,16.0,11128.04
Paraguay,17.0,10924.61
Faroe Islands,25.0,9325.61
Afghanistan,3.0,7278.97
El Salvador,7.0,6709.72
Greenland,2.0,6200.0
Brunei Darussalam,45.0,5753.5
Mauritius,2.0,5355.04
Bangladesh,21.0,4741.96
Ã…land Islands,17.0,3728.79
New Caledonia,3.0,3412.97
Ghana,5.0,2808.76
Zambia,2.0,1635.44
Kenya,2.0,1632.62
Yemen,3.0,1590.0
Honduras,7.0,1336.87
Andorra,5.0,1100.26
Trinidad and Tobago,1.0,1048.17
Monaco,2.0,675.5
Cyprus,4.0,531.69
Madagascar,1.0,458.0
Jamaica,4.0,377.71
Northern Mariana Islands,1.0,300.0
Bahamas,1.0,263.0
Belize,1.0,250.0
French Polynesia,1.0,245.63
Turkmenistan,1.0,220.4
Bermuda,1.0,200.0
Maldives,3.0,121.54
Isle of Man,1.0,75.0
Jersey,1.0,60.0
Liechtenstein,2.0,56.47
Suriname,1.0,56.25
Saint Martin,1.0,50.0
United States Minor Outlying Islands,1.0,30.0
Saint Kitts and Nevis,1.0,20.0
Aruba,1.0,14.17
